Name;default value;possible values/ samples;used by;description;conflicts
IS_PULL_REQUEST;;;Shippable;Set to true if the job is a pull request. If not, this will be set to false.;
IS_FORK;;;Shippable;Set to true if the job belongs to a forked project. If not, this will be set to false.;
JOB_ID;;;Shippable;ID of job in Shippable.;
JOB_NUMBER, SHIPPABLE_JOB_NUMBER, SHIPPABLE_JOB_ID;;;Shippable;All three variables are the same & represent the number of the job in Shippable.;
LANG;;;Shippable;en_US.UTF-8;
LAST_AUTHOR;;;Shippable;Name of the last author.;
LAST_SUCCESSFUL_BUILD_TIMESTAMP;;;Shippable;Timestamp of the last successful build in seconds. This will be set to false for the first build or for the build with no prior successful builds.;
LC_ALL;;;Shippable;en_US.UTF-8;
LC_CTYPE;;;Shippable;en_US.UTF-8;
MERB_ENV;;;Shippable;test;
ORG_NAME;;;Shippable;Name of the organization/user that owns the repository currently being built (eg. This will be set to Shippable if the full name is Shippable/support).;
PATH;;;Shippable;$HOME/bin:$PATH:$HOME/usr/local/bin;
PROJECT_ID;;;Shippable;ID of the Shippable Project.;
PULL_REQUEST;;;Shippable;Pull request number if the job is a pull request. If not, this will be set to false.;
PULL_REQUEST_BASE_BRANCH;;;Shippable;Name of the branch that the pull request will be merged into. It should be the same as BASE_BRANCH.;
RACK_ENV;;;Shippable;test;
RAILS_ENV;;;Shippable;test;
REPO_FULL_NAME;;;Shippable;Full name of the repository currently being built (eg. Shippable/support).;
REPO_NAME;;;Shippable;Name of the repository currently being built (eg. This will be set to support if the full name is Shippable/support).;
REPOSITORY_URL;;;Shippable;URL of your GitHub or Bitbucket repository.;
SERVICE_SKIP;;;Shippable;false;
SHIPPABLE;;;Shippable;true;
SHIPPABLE_ARCHIVE;;;Shippable;true;
SHIPPABLE_BUILD_DIR;;;Shippable;Directory where the repository is cloned.;
SHIPPABLE_BUILD_ID;;;Shippable;ID of build in Shippable.;
SHIPPABLE_BUILD_NUMBER;;;Shippable;Build number for current build.;
SHIPPABLE_BUNDLER_ARGS;;;Shippable;The value of bundler_args in the build section of shippable.yml.;
SHIPPABLE_COMMIT_RANGE;;;Shippable;Parent commit? current commit being built.;
SHIPPABLE_DATA_DIR;;;Shippable;$HOME/data;
SHIPPABLE_GEMFILE;;;Shippable;The gemfile specified for the job in the shippable.yml.;
SHIPPABLE_GO_VERSION;;;Shippable;GO version specified for the job.;
SHIPPABLE_GOPATH;;;Shippable;PATH set to $HOME;
SHIPPABLE_JDK_VERSION;;;Shippable;The jdk for the job in the shippable.yml.;
SHIPPABLE_LEIN_VERSION;;;Shippable;Clojure version specified for the job.;
SHIPPABLE_MYSQL_BINARY;;;Shippable;/usr/bin/mysqld_safe;
SHIPPABLE_MYSQL_CMD;;;Shippable;\$SHIPPABLE_MYSQL_BINARY;
SHIPPABLE_NODE_VERSION;;;Shippable;NodeJS version specified for the job.;
SHIPPABLE_OS_NAME;;;Shippable;linux;
SHIPPABLE_PHP_VERSION;;;Shippable;PHP version specified for the job.;
SHIPPABLE_POSTGRES_VERSION;;;Shippable;09. Feb;
SHIPPABLE_POSTGRES_BINARY;;;Shippable;/usr/lib/postgresql/\$SHIPPABLE_POSTGRES_VERSION/bin/postgres;
SHIPPABLE_POSTGRES_CMD;;;Shippable;"sudo -u postgres \$SHIPPABLE_POSTGRES_BINARY -c config_file=/etc/postgresql/\$SHIPPABLE_POSTGRES_VERSION/main/postgresql.conf""""";
SHIPPABLE_PYTHON_VERSION;;;Shippable;Python version specified for the job.;
SHIPPABLE_REPO_DIR;;;Shippable;The directory where builds run.;
SHIPPABLE_REPO_SLUG;;;Shippable;Full name of the repository being built (e.g. Shippable/support).;
SHIPPABLE_RUBY;;;Shippable;Ruby version version specified for the job.;
SHIPPABLE_SCALA_VERSION;;;Shippable;Scala version specified for the job.;
SHIPPABLE_SELENIUM_PORT;;;Shippable;4444;
SHIPPABLE_SELENIUM_BINARY;;;Shippable;Location of selenium binary. It is set only if selenium is in the addons or services in the shippable.yml.;
SHIPPABLE_SUBMODULE_ENABLED;;;Shippable;Whether or not submodules in the repository will be updated.;
SHIPPABLE_VE_DIR;;;Shippable;\$HOME/build_ve/python/2.7;
SUBSCRIPTION_ID;;;Shippable;ID of the Subscription.;
IS_GIT_TAG;;;Shippable;Set to true if the build is triggered by a git tag push webhook. If not, this will be set to false. This env variable is currently supported for GitHub only.;
GIT_TAG_NAME;;;Shippable;The git tag name if the build is triggered by a git tag push webhook or a release webhook. This env variable is currently supported for GitHub only.;
IS_RELEASE;;;Shippable;Set to true if the build is triggered by a release webhook. If not, this will be set to false. This env variable is currently supported for GitHub only.;
IS_PRERELEASE;;;Shippable;Set to true if the release is marked pre-release when it was published. If not, this will be set to false. This env variable is currently supported for GitHub only.;
RELEASED_AT;;;Shippable;The timestamp when the release was published. This env variable is currently supported for GitHub only.;
RELEASE_NAME;;;Shippable;The name of the release webhook. This env variable is currently supported for GitHub only.;
;;;;;
CIRCLE_NODE_TOTAL;;;CircleCI;The total number of nodes across which the current test is running.;
CIRCLE_NODE_INDEX;;;CircleCI;The index (0-based) of the current node.;
CIRCLE_BUILD_IMAGE;;;CircleCI;The build image this build runs on.;
CIRCLECI;;;CircleCI;true;
CI;;;CircleCI;true;
CIRCLE_PROJECT_USERNAME;;;CircleCI;The username or organization name of the project being tested, i.e. ?foo? in circleci.com/gh/foo/bar/123;
CIRCLE_PROJECT_REPONAME;;;CircleCI;The repository name of the project being tested, i.e. ?bar? in circleci.com/gh/foo/bar/123;
CIRCLE_BRANCH;;;CircleCI;The name of the Git branch being tested, e.g. ?master?, if the build is running for a branch.;
CIRCLE_TAG;;;CircleCI;The name of the git tag being tested, e.g. ?release-v1.5.4?, if the build is running for a tag.;
CIRCLE_SHA1;;;CircleCI;The SHA1 of the commit being tested.;
CIRCLE_REPOSITORY_URL;;;CircleCI;A link to the homepage for the current repository, for example, https://github.com/circleci/frontend.;
CIRCLE_COMPARE_URL;;;CircleCI;A link to GitHub?s comparison view for this push. Not present for builds that are triggered by GitHub pushes.;
CIRCLE_BUILD_URL;;;CircleCI;A permanent link to the current build, for example, https://circleci.com/gh/circleci/frontend/933.;
CIRCLE_BUILD_NUM;;;CircleCI;The build number, same as in circleci.com/gh/foo/bar/123;
CIRCLE_PREVIOUS_BUILD_NUM;;;CircleCI;The build number of the previous build, same as in circleci.com/gh/foo/bar/123;
CI_PULL_REQUESTS;;;CircleCI;Comma-separated list of pull requests this build is a part of.;
CI_PULL_REQUEST;;;CircleCI;If this build is part of only one pull request, its URL will be populated here. If there was more than one pull request, it will contain one of the pull request URLs (picked randomly).;
CIRCLE_ARTIFACTS;;;CircleCI;The directory whose contents are automatically saved as build artifacts.;
CIRCLE_USERNAME;;;CircleCI;The GitHub login of the user who either pushed the code to GitHub or triggered the build from the UI/API.;
CIRCLE_TEST_REPORTS;;;CircleCI;The directory whose contents are automatically processed as JUnit test metadata.;
CIRCLE_PR_USERNAME;;;CircleCI;The username of the owner of the fork.;
CIRCLE_PR_REPONAME;;;CircleCI;The name of the repository the pull request was submitted from.;
CIRCLE_PR_NUMBER;;;CircleCI;The number of the pull request this build forms part of.;
;;;;;
CI;;true;SemaphoreCI;;
SEMAPHORE;;true;SemaphoreCI;;
BRANCH_NAME;;Eg. master;SemaphoreCI;;
REVISION;;Eg. 6375073ec483bd2d949fad188d1ab869;SemaphoreCI;;
WKHTMLTOPDF_PATH;;/usr/local/bin/wkhtmltopdf;SemaphoreCI;;
SEMAPHORE_PROJECT_DIR;;Eg. /home/runner/my_app;SemaphoreCI;;
SEMAPHORE_CACHE_DIR;;Eg. /home/runner/my_app/.semaphore-cache;SemaphoreCI;;
SEMAPHORE_PROJECT_HASH_ID;;Eg. 18670db3bd1c017cb5fc6013bec1d75d3;SemaphoreCI;;
SEMAPHORE_PROJECT_NAME;;Eg. Base-app;SemaphoreCI;;
SEMAPHORE_BRANCH_ID;;Eg. 85726;SemaphoreCI;;
SEMAPHORE_BUILD_NUMBER;;Eg. 23;SemaphoreCI;;
SEMAPHORE_REPO_SLUG;;Eg. rastasheep/my_project;SemaphoreCI;;
SEMAPHORE_THREAD_RESULT;;Eg. failed;SemaphoreCI;;
SEMAPHORE_CURRENT_THREAD;;Eg. 1;SemaphoreCI;;
SEMAPHORE_THREAD_COUNT;;Eg. 4;SemaphoreCI;;
SEMAPHORE_TRIGGER_SOURCE;;Eg. push, manual, api, scheduler;SemaphoreCI;;
PULL_REQUEST_NUMBER;;Eg. 121;SemaphoreCI;;
SEMAPHORE_DEPLOY_NUMBER;;Eg. 17;SemaphoreCI;;
SEMAPHORE_SERVER_NAME;;Eg. staging;SemaphoreCI;;
HEROKU_API_KEY;;Eg. 12139243 - when deploying to Heroku;SemaphoreCI;;
LANG;;en_US.UTF-8;SemaphoreCI;;
LC_ALL;;en_US.UTF-8;SemaphoreCI;;
DATABASE_USERNAME;;runner;SemaphoreCI;;
DATABASE_NAME_DEVELOPMENT;;Eg. 18671ad3b3r7bec1d75d3_development;SemaphoreCI;;
DATABASE_NAME_TEST;;Eg. 18671ad3b3rVa5fc6017bec1d75d3_test;SemaphoreCI;;
DATABASE_PASSWORD;;semaphoredb;SemaphoreCI;;
DATABASE_MYSQL_USERNAME;;root;SemaphoreCI;;
DATABASE_MYSQL_PASSWORD;;semaphoredb;SemaphoreCI;;
DATABASE_POSTGRESQL_USERNAME;;runner;SemaphoreCI;;
DATABASE_POSTGRESQL_PASSWORD;;semaphoredb;SemaphoreCI;;
